event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Mögliche Nahrungsmittelknappheit $onOrAt $market,"Die Analyse der aus abgefangenen Nachrichten und anderen Quellen gewonnenen Informationen deutet darauf hin, dass es innerhalb weniger Wochen zu einer Lebensmittelknappheit kommen wird $onOrAt $market",Erhöhte Lebensmittelpreise und verringerte Stabilität $onOrAt $market wenn die Knappheit eintritt.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"Die Analyse der aus abgefangenen Nachrichten und anderen Quellen gewonnenen Informationen deutet darauf hin, dass innerhalb weniger Wochen mit ziemlicher Sicherheit eine Nahrungsmittelknappheit eintreten wird $onOrAt $market",Erhöhte Lebensmittelpreise und verringerte Stabilität $onOrAt $market wenn der Mangel auftritt.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"In diesem Bericht wird darauf hingewiesen, dass eine Lebensmittelknappheit mit ziemlicher Sicherheit eintreten wird $onOrAt $market, und die Einheiten in dem Gebiet werden beraten, welche Schritte unternommen werden könnten, um die Auswirkungen zu maximieren.","Hilfsflotte, die wahrscheinlich von einem nahegelegenen Sternensystem entsandt wird; wenn sie abgefangen wird, verlängert sich der Engpass und $market. wird weiter destabilisiert

Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Wahrscheinliche Nahrungsmittelknappheit $onOrAt $market,"In diesem Bericht wird darauf hingewiesen, dass eine Nahrungsmittelknappheit so gut wie sicher eintreten wird $onOrAt $market, und den Einheiten wird geraten, sich zur Unterstützung bereitzuhalten.",Die rasche Lieferung einer ausreichenden Menge an Nahrungsmitteln an $market wird die Dauer und die Auswirkungen des Mangels verringern.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Nahrungsmittelknappheit $onOrAt $market,"Der Bericht befasst sich mit der Nahrungsmittelknappheit $onOrAt $market und bietet eine ausgewogene Perspektive, ohne jedoch eine konkrete Ursache zu nennen. Die wahrscheinlichste Ursache scheint eine Fehlerkaskade in einem sich verschlechternden Logistiksystem zu sein.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.
Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationsverlust durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Kritische Nahrungsmittelknappheit $onOrAt $market,"Der Bericht weist darauf hin, dass die Nahrungsmittelknappheit $onOrAt $market ungewöhnlich groß ist, und beschuldigt die $theMarketFaction-Verwaltung, eine humanitäre Krise ausgelöst zu haben.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.

Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationseinfluss durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Angebliche Nahrungsmittelknappheit $onOrAt $market,"Der Bericht weist alle Gerüchte über eine Lebensmittelknappheit $onOrAt $market entschieden zurück und ermutigt verantwortungsbewusste Bürger, ihren Teil dazu beizutragen, indem sie jeden melden, der im Verdacht steht, bösartige Gerüchte zu verbreiten.","Erhöhte Lebensmittelpreise $onOrAt $market.

Stabilität verringert durch $stabilityPenalty.

Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um die Knappheit zu beenden.

Hilfsflotte wird wahrscheinlich von einem nahegelegenen Sternensystem entsandt.

Erhöhter Reputationseinfluss durch den Verkauf von Nahrungsmitteln. Der Verkauf von Nahrungsmitteln auf dem Schwarzmarkt wird die Unruhen nach der Verknappung verstärken.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Die Analyse des Kommunikationsverkehrs zeigt, dass eine Hilfsflotte in $reliefMarket in $reliefSystem organisiert wird und in Kürze nach $market geschickt wird.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Aus dem Bericht geht hervor, dass in $reliefMarket in $reliefSystem eine Hilfsflotte organisiert wird, die wahrscheinlich in wenigen Wochen an den Start gehen wird.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Lebensmittelknappheit $onOrAt $market: Hilfsmaßnahmen werden auf $reliefMarket organisiert,"Der Bericht besagt, dass in $reliefMarket in $reliefSystem eine Hilfsflotte organisiert wird, die voraussichtlich in wenigen Tagen aufbrechen wird. Einheiten in der Nähe werden gebeten, dafür zu sorgen, dass die Flotte sicher an ihrem Ziel ankommt.","Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfe von $reliefMarket geschickt,Eine Hilfsflotte ist von $reliefMarket aus im System $reliefSystem unterwegs und sollte in $marketSystem $eta. eintreffen.,"Die Flotte transportiert genug Lebensmittel, um den Mangel zu beseitigen.

Sollte die Flotte nicht wie erwartet eintreffen, wird sich die Lage in $market weiter destabilisieren.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Nahrungsmittelknappheit $onOrAt $market: Verschlechterung der Bedingungen,"Während es anfangs Spekulationen gab, dass ein Nachbarland in der Lage sein könnte, Hilfe zu schicken, scheint es, dass diese Hilfe nicht kommt.",Unruhe erhöht durch $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfsflotte kehrt um,"Die Hilfsflotte von $reliefMarket wurde auf ihrem Weg nach $market angegriffen, erlitt große Verluste und musste umkehren. Die Lebensmittelknappheit hält unvermindert an.",Unruhe erhöht durch $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfsflotte eingetroffen,"Die Hilfsflotte aus $reliefMarket ist eingetroffen, und die Lebensmittelknappheit $onOrAt $market ist vorbei.","Unruhe erhöht durch $stabilityPenaltyEnd.

Die Lebensmittelpreise $onOrAt $market sind wieder auf ihrem normalen Niveau.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Nahrungsmittelknappheit $onOrAt $market: Hilfsflotte verloren,"Die Hilfsflotte aus $reliefMarket hat ihr Ziel nicht erreicht, und die Lebensmittelknappheit hält unvermindert an.",Unruhe erhöht durch $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Nahrungsmittelknappheit $onOrAt $market über,"Aus dem Bericht geht hervor, dass die Lebensmittelknappheit $onOrAt $market nun beendet ist. Verschiedene Faktoren, darunter eine strenge Rationierung, Maßnahmen zur Unterdrückung von Unruhen und die Ankunft mehrerer unabhängiger Händler, werden für die Beendigung der Knappheit verantwortlich gemacht.","Die Unruhe hat um $stabilityPenaltyExpire. zugenommen
Die Lebensmittelpreise $onOrAt $market sind wieder auf ihrem normalen Niveau.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Nahrungsmittelknappheit $onOrAt $market über,"Aus dem Bericht geht hervor, dass die Lebensmittelknappheit $onOrAt $market nun beendet ist. Die Ankunft einer Hilfsflotte unter dem Kommando von $playerName wird für die Beendigung der Knappheit verantwortlich gemacht, obwohl ein lokaler Verwalter schnell auf seinen eigenen Beitrag hinwies.","Die Unruhe hat um $stabilityPenaltyEnd. zugenommen
Die Lebensmittelpreise $onOrAt $market sind wieder auf ihrem normalen Niveau.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Nahrungsmittelknappheit $onOrAt $market über,"Aus dem Bericht geht hervor, dass die Lebensmittelknappheit $onOrAt $market nun beendet ist. Leider wurde ein Großteil der Nahrungsmittelhilfe von kriminellen Elementen verteilt, was deren Position stärkte und die lokalen Behörden sowohl finanziell als auch in den Augen der Bevölkerung unterminierte.","Unruhe erhöht durch $stabilityPenaltyEndBlack.

Die Lebensmittelpreise $onOrAt $market sind wieder auf ihrem normalen Niveau.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Nahrungsmittelknappheit $onOrAt $market über,"Aus dem Bericht geht hervor, dass die Nahrungsmittelknappheit $onOrAt $market nun beendet ist. Das rechtzeitige Eintreffen einer von $playerName geleiteten Hilfsflotte wird dafür verantwortlich gemacht, dass die Knappheit schnell beendet und ihre langfristigen Auswirkungen gemildert werden konnten.","Keine Unruheerhöhung $onOrAt $market.

Die Lebensmittelpreise $onOrAt $market sind wieder auf ihrem normalen Niveau.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Ermittlungen wegen Schmuggels $onOrAt $market,"Eine verschlüsselte Nachricht von einem Ihrer Kontakte in der Unterwelt von $market warnt Sie, dass die Behörden von $theMarketFaction eine Untersuchung der jüngsten Schmuggelaktivitäten eingeleitet haben.","Wenn die Ermittlungen ergeben, dass Sie in den Schmuggel verwickelt sind, wird $theMarketFaction Ihnen gegenüber unfreundlich werden.

$InvestigatorPost $investigatorName ist mit der Durchführung der Ermittlungen beauftragt. Du kannst das Ergebnis vielleicht beeinflussen, indem du dich an $invHimOrHer. wendest

Die Untersuchung wird für $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Ermittlungen wegen Schmuggels $onOrAt $market - geräumt,"Die $marketFaction-Schmuggeluntersuchung ist abgeschlossen, und es sieht so aus, als sei Ihr Name reingewaschen worden - oder zumindest gab es keine schlüssigen Beweise für Ihre Beteiligung.",Die Beziehung zu $theMarketFaction bleibt davon unberührt.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Ermittlungen wegen Schmuggels $onOrAt $market - geräumt,"Die Untersuchung des $marketFaction-Schmuggels wurde gemäß Ihrer ""Sondervereinbarung"" mit $investigatorName abgeschlossen, und dieser besondere Schandfleck auf Ihrem Ruf ist getilgt.","Die Bestechung von $InvestigatorPost $investigatorName hat gewirkt.

Die Beziehung zu $theMarketFaction bleibt davon unberührt.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Ermittlungen wegen Schmuggels $onOrAt $market - verurteilt,"Die Ermittlungen von $marketFaction haben ergeben, dass Sie tatsächlich an den jüngsten Schmuggelaktivitäten beteiligt waren.",,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,$MarketFaction Untersuchung Ihrer Verbindungen zu $OtherFaction,"Eine verschlüsselte Nachricht von einem Ihrer Kontakte $onOrAt $market warnt Sie, dass die Behörden von $theMarketFaction eine Untersuchung über Ihre Verbindungen zu $theOtherFactionLong. eingeleitet haben","$TheMarketFaction könnte Ihnen gegenüber aufgrund der Ermittlungen feindselig werden.

$InvestigatorPost $investigatorName $onOrAt $market ist mit der Durchführung der Ermittlungen beauftragt. Möglicherweise können Sie das Ergebnis beeinflussen, indem Sie sich an $invHimOrHer.

Die Untersuchung wird $duration.",,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,$MarketFaction-Untersuchung Ihrer Verbindungen zu $OtherFaction - geklärt,"Die $marketFaction-Untersuchung Ihrer Verbindungen zu $theOtherFactionLong ist abgeschlossen, und Sie wurden freigesprochen, gegen die Interessen von $marketFaction gehandelt zu haben.",Die Beziehung zu $theMarketFaction bleibt davon unberührt.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,$MarketFaction-Untersuchung Ihrer Verbindungen zu $OtherFaction - geklärt,"Die $marketFaction-Untersuchung Ihrer Verbindungen zu $theOtherFactionLong wurde gemäß Ihrer ""Sondervereinbarung"" mit $investigatorName abgeschlossen, und Sie wurden freigesprochen, gegen die Interessen von $marketFaction zu handeln.","Die Bestechung von $InvestigatorPost $investigatorName hat gewirkt.

Die Beziehung zu $theMarketFaction bleibt davon unberührt.",,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,$MarketFaction Untersuchung Ihrer Verbindungen zu $OtherFaction - verurteilt,"Die Untersuchung von $marketFaction über Ihre Verbindungen zu $theOtherFactionLong hat ergeben, dass Sie gegen die Interessen von $theMarketFaction. gehandelt haben. Es ist klar, dass Sie von $theMarketFaction. mit besonderem Misstrauen behandelt werden.",,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Kontakt zu Comm Sniffer bei $name verloren,"Der von Ihnen auf $name installierte Comm-Sniffer meldet sich nicht mehr. Dies ist wahrscheinlich darauf zurückzuführen, dass er von der Sicherheitssoftware entfernt wurde. Es ist möglich, dass eine manuelle Überprüfung der Sicherheitsprotokolle eine Untersuchung über die Herkunft des Sniffers auslösen wird.",Comm Sniffer bei $name ist nicht mehr betriebsbereit.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,Comm-Sniffer bei $name zu Ihnen zurückverfolgt,"Eine gründliche Prüfung der Sicherheitsprotokolle von $name hat ergeben, dass Sie für den Sicherheitsverstoß verantwortlich gemacht werden.",,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,Handel unterbrochen $onOrAt $market im $marketSystem-System,"Handelsflotten, die von oder nach $market fahren, erreichen ihr Ziel nicht in nennenswerter Zahl. Der Bericht weist darauf hin, dass Piraterie oder Krieg die wahrscheinlichsten Schuldigen sind.","Die Preise dürften innerhalb von zwei Monaten zur Norm zurückkehren.

Die folgenden Waren sind betroffen:
$commoditySummary

Wählen Sie ""Preise"" und wechseln Sie zur Registerkarte ""Karte"", um Einzelheiten zu erfahren.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,Schmuggelaktivität $onOrAt $market im System $marketSystem,Die Situation $onOrAt $market hat sich aufgrund der jüngsten Schmuggelaktivitäten verschlechtert. Die örtlichen Behörden versprechen eine umfassende Untersuchung.,Stabilität reduziert durch $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
trade_disruption,report_smuggling_player,,,news,Schmuggelaktivität $onOrAt $market im System $marketSystem,"Die Situation $onOrAt $market hat sich aufgrund der jüngsten Schmuggelaktivitäten, an denen Sie beteiligt waren, verschlechtert. Die örtlichen Behörden versprechen eine umfassende Untersuchung.","Stabilität reduziert durch $smugglingPenalty.

Ihre jüngsten Aktionen haben zu dieser Situation beigetragen.",,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,Standing bei $theFaction durch den Handel verbessert,"Es gibt Hinweise darauf, dass Ihre jüngsten Handelsaktivitäten bei $marketList von $theFaction. zur Kenntnis genommen wurden.",,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,Standing bei $theFaction wegen Schmuggels reduziert,"Es gibt Anzeichen dafür, dass Ihr jüngster Schwarzmarkthandel mit $marketList von $theFaction. bemerkt wurde. Es gibt zwar keine schlüssigen Beweise, aber es ist klar, dass Ihre Handlungen noch genauer als zuvor überprüft werden.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,Standing bei $theHostileFaction reduziert durch Handel mit $pickedMarket,"Es gibt Anzeichen dafür, dass Ihr Handel mit $pickedMarket bedeutend genug war, um von $theHostileFaction bemerkt zu werden, das $theFaction. gegenüber feindlich eingestellt ist","Ihre Aktivität wurde ursprünglich von Parteien bei $hostileMarket. gemeldet

Der Schmuggel (wenn überhaupt) hatte weniger Auswirkungen als der offene Handel.",,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,Standing mit $theFaction vom Handel unberührt,"Ihre jüngsten Handelsaktivitäten mit $marketList wurden zwar von $theFaction zur Kenntnis genommen, haben aber zu keiner Änderung der Beziehungen geführt.","Die Beziehungen sind an einem Punkt angelangt, an dem der Handel sie nicht mehr beeinflussen kann.",,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,Standing mit $theHostileFaction vom Handel unberührt,"Ihre jüngsten Handelsaktivitäten mit $pickedMarket wurden zwar von den feindlichen Behörden von $hostileMarket zur Kenntnis genommen, haben aber zu keiner Änderung der Beziehungen geführt.","Die Beziehungen sind an einem Punkt angelangt, an dem der Handel sie nicht mehr beeinflussen kann.",,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,Erfahrung im Handel,Ihre jüngsten Geschäfte haben Ihnen neue Einblicke in die Funktionsweise der Wirtschaft verschafft. Sie haben auch einige wertvolle Kontakte geknüpft.,$xpGain Erfahrung gesammelt.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,Stehen mit $theFaction verbessert,"Kleinere Kränkungen und Beleidigungen werden nach einiger Zeit vergessen, wenn sie nicht durch ein neues Verhaltensmuster verstärkt werden.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,Stehend mit $theFaction reduziert,"Unbedeutende Beleidigungen und kleine Gefälligkeiten werden schnell vergessen, wenn sie nicht durch ein neues Verhaltensmuster verstärkt werden.",,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,Stehen mit $theFaction verbessert,Dein Kampf mit dem $otherFleetName wurde von $theFaction bei $market. vermerkt,Die Nachricht von der Schlacht wurde zunächst von Parteien bei $market. aufgegriffen,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,$Faction sicherer Kommunikationszugang gewährt,Aufgrund Ihres guten Rufs ($factionStanding) haben Sie von den Behörden Zugang zu den internen $Faction Kommunikationskanälen erhalten $onOrAt $market.,,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,$Faction secure comm access widerrufen,Aufgrund Ihres reduzierten Status ($factionStanding) wurde Ihnen der Zugang zu den internen $Faction Kommunikationskanälen entzogen.,,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,$market Preis-Update,Das Anzapfen des lokalen Kommunikationsnetzes liefert Informationen über einige Waren mit ungewöhnlichen Preisen bei $market.,$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,Aktualisierung der lokalen Preise,Die Nutzung des lokalen Kommunikationsverkehrs und anderer verfügbarer Datenquellen hat Preisdaten für einige Waren auf systeminternen Märkten ergeben.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,Preisaktualisierung,Ein Microburst vom Comm-Sniffer auf $relayName enthält Preisinformationen über einige Waren im $fromSystem-Sternensystem.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,Preisaktualisierung,Die Auswertung des lokalen Kommunikationsverkehrs und anderer verfügbarer Datenquellen hat Preisdaten für einige Waren im $fromSystem-Sternensystem ergeben.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,Zollkontrolle,"Ihre Umgehung der Zollkontrolle war zwar kurzfristig erfolgreich, wurde aber von den $faction-Behörden bemerkt.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,Das Kopfgeld wird wahrscheinlich von $market angeboten,"Gerüchten zufolge erwägen die Behörden $onOrAt $market, ein Kopfgeld auf alle Flotten auszusetzen, die $theMarketFaction. feindlich gesinnt sind.","
",,,,,
system_bounty,start,,,news,Kopfgeld angeboten von $market,"Die Behörden von $onOrAt und $market, die von den ständigen Angriffen auf die Schifffahrt, der Unterbrechung des Handels und dem allgemeinen Zustand des Beinahe-Kriegs genervt sind, haben ein Kopfgeld auf alle Flotten ausgesetzt, die $theMarketFaction. feindlich gesinnt sind.","Wird für $daysLeft Tage dauern.

Die Höhe der Auszahlung hängt von den zerstörten Schiffen ab (ab $baseBounty Credits für eine Fregatte), das Ansehen kann sich mit $theMarketFaction auch verbessern.

Die Schiffe müssen im System oder in der Nähe im Hyperraum zerstört oder ausgeschaltet werden.

Die Bezahlung erfolgt über einen sicheren Kommunikationskanal durch ein nahe gelegenes Kommunikationsrelais.
",,,,,
system_bounty,start_with_faction,,,news,Kopfgeld angeboten von $market,"Die Behörden von $onOrAt und $market, die von den ständigen Angriffen auf die Schifffahrt, der Unterbrechung des Handels und dem allgemeinen Zustand des Beinahe-Kriegs genervt sind, haben ein Kopfgeld auf alle Flotten ausgesetzt, die $theMarketFaction. feindlich gesinnt sind.","Wird für $daysLeft Tage dauern.

Wahrscheinlich ausgelöst durch $enemyFaction Aktivität im System.

Die Höhe der Auszahlung hängt von den zerstörten Schiffen ab (ab $baseBounty Credits für eine Fregatte), das Ansehen kann sich mit $theMarketFaction auch verbessern.

Die Schiffe müssen im System oder in der Nähe im Hyperraum zerstört oder ausgeschaltet werden.

Die Bezahlung erfolgt über einen sicheren Kommunikationskanal durch ein nahe gelegenes Kommunikationsrelais.
",,,,,
system_bounty,bounty_payment,,,secure_comm,Kopfgeldzahlung von $market: $bountyCredits-Credits,"Die Nachricht hat einen verschlüsselten Anhang, der eine Zahlung von $bountyCredits-Credits enthält.","$bountyCredits Credits erworben.

$market wird das Kopfgeld weiterhin für $daysLeft Tag(e) anbieten.",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,Kopfgeldzahlung von $market: $bountyCredits-Credits,"Die Nachricht enthält einen verschlüsselten Anhang, der Ihren Anteil an der Belohnung in Höhe von $bountyCredits Credits enthält.","$bountyCredits Credits erworben.

$market wird das Kopfgeld weiterhin für $daysLeft Tag(e) anbieten.",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,Bewertung bezüglich des Kopfgeldes von $market,Die Nachricht enthält einen internen Geheimdienstbericht über das von $market. angebotene Kopfgeld.,"Keine Kopfgeldzahlung, da $theMarketFaction Ihnen gegenüber $factionStanding ist.

$market wird das Kopfgeld weiterhin für $daysLeft Tag(e) anbieten.",,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,Bewertung bezüglich des Kopfgeldes von $market,Die Nachricht enthält einen internen Geheimdienstbericht über das von $market. angebotene Kopfgeld.,"Keine Kopfgeldzahlung oder Verbesserung der Beziehung, weil $theMarketFaction dir gegenüber $factionStanding ist.

$market wird das Kopfgeld weiterhin für $daysLeft Tag(e) anbieten.",,,nomap,,
system_bounty,end,,,news,Kopfgeld angeboten von $market über,Die Behörden $onOrAt $market haben den Zeitraum für das Kopfgeld offiziell für beendet erklärt.,Es werden keine Kopfgelder mehr gezahlt.,,,nomap,,
,,,,,,,,,,,,
