name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Basis ModSpec,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Eine Sammlung von Hinweisen, Richtlinien und praktischen Beispielen, die es ermöglichen, diese Modifikation an verschiedene Rümpfe anzupassen und anzuwenden.",50
,,,,,,,,,,,,,,,
# Industrie-geschlitzte Artikel,,,,,,,,,,,,,,,
Korrumpierte Nanoschmiede,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Eine leistungsfähige und vielseitige ""Black Box"", die sich mit den erforderlichen Rohstoffen und menschlicher Hilfe selbst in industriellem Maßstab weiterentwickeln kann.

Diese Maschine hat schon bessere Tage gesehen und ist nicht in der Lage, zuverlässig fehlerfreie Komponenten herzustellen. Nichtsdestotrotz ist der Zugang zu einer Nanoschmiede ein Fortschritt für den Bau von Raumschiffen.",139
Unverfälschte Nanoschmiede,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Eine leistungsfähige und vielseitige ""Black Box"", die sich mit den erforderlichen Rohstoffen und menschlicher Hilfe selbst in industriellem Maßstab weiterentwickeln kann.

Dieses Schiff ist so gut wie neu, zumindest laut seiner On-Board-Diagnose. In der Praxis ist es angesichts des allgemeinen Zustands der Fertigung in diesem Sektor immer noch eine Herausforderung, fehlerfreie Raumschiffkomponenten zu erhalten, aber diese Nanoschmiede ist so gut, wie es nur geht.",139.1
Synchrotron-Kern,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Eine spezialisierte Nanoschmiede, die mit Firmware und Saatgut-Nanotechnologie ausgestattet ist, um sich selbst zu einem Synchrotron auszubauen, das die Antimaterieproduktion im industriellen Maßstab ermöglicht.",139.2
Orbital Fusion Lampe,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Ein miniaturisierter Fusionsreaktor mit variabler Leistung, der in der Lage ist, einen Planeten mit ausreichend Licht und Wärme zu versorgen.

Für einen sicheren Betrieb sind enorme Mengen an flüchtigen Stoffen erforderlich. Wird der Bedarf nicht gedeckt, leidet der Reaktor unter einer potenziell gefährlichen Instabilität, die zu einem unkontrollierten Anstieg der Leistung führen kann. Zum Zeitpunkt des Zusammenbruchs war vor den Gerichten von Domain ein Rechtsstreit darüber anhängig, ob es sich bei diesem Gerät um eine inhärent unsichere Konstruktion oder lediglich um eine unsichere Verwendung handelt.",135
Hypershunt Wasserhahn,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Ein miniaturisiertes Wurmloch-Interface, das aktiviert werden kann, um einen nahe gelegenen koronalen Hypershunt anzuzapfen, der eine Kolonie mit praktisch unbegrenzter Energie versorgt.

Für den Betrieb sind industrielle Mengen an Transplutonika erforderlich, die zunächst zum Öffnen des Wurmlochs verwendet werden und dann - sobald die Energieentnahme selbsttragend wird - in einem komplizierten Ablationsprozess verbraucht werden, der die Stabilität des Wurmlochs aufrechterhält. Jede Unterbrechung der Versorgung erfordert eine vollständige Abschaltung der Zapfstelle.",137
Autonome Mantelbohrung,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Es wird angenommen, dass es im Sektor keine funktionierenden Übersteuerungseinheiten mehr gibt, aber die Bohrung selbst ist zu einem unabhängigen - wenn auch manchmal unvorhersehbaren - Betrieb in der Lage. Ausfallsicherungen im Automatikmodus schließen seinen Einsatz auf bewohnbaren Welten aus.",140
Katalytischer Kern,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,"Verbessert die Effektivität von Raffinationsprozessen durch eine überraschende Eigenart der Osmosephysik erheblich. Für den Betrieb ist ein Vakuum erforderlich, das auf Planeten mit hohem atmosphärischen Druck nur schwer zu erreichen ist.",145
Boden-Naniten,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Ermöglicht die Anreicherung und Rückgewinnung von Böden mit einer Geschwindigkeit, die weit über der von natürlichen Prozessen ohne Hilfe liegt. Domain Nanite Safety Regulation 4324, subsection 81 verbietet die Verwendung auf Welten mit transplutonischen Erz- oder Volatilitätsvorkommen, und leider scheint das eingebaute Failsafe zu funktionieren.",150
Biofabrik-Embryo,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Eine schwindelerregende Vielfalt von Konsumgütern kann angebaut statt hergestellt werden. Die vollständig extrudierte Biofabrik gedeiht nur unter dem empfindlichen Gleichgewicht von Sonnenlicht, Bodennährstoffen und atmosphärischen Bedingungen, die eine bewohnbare Welt bieten kann. Versuche, diese Bedingungen in künstlichen Umgebungen zu imitieren, scheitern immer und führen dazu, dass die Fabrik krank wird, vermutlich aufgrund einer genetisch kodierten Ausfallsicherung.",155
Fulleren-Spule,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport","Ein ultrastarkes Kabel aus Kohlenstoff-Nanomesh, das für den Bau eines Weltraumfahrstuhls von zentraler Bedeutung ist. Verbessert die Effizienz der Logistik zwischen der Oberfläche eines Planeten und einer niedrigen Umlaufbahn erheblich.",160
Plasma-Dynamo,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Das supraleitergeflanschte Herzstück eines industriellen Systems, das ein Plasmanetz in Planetengröße erzeugt, das eine effiziente, spektakuläre Extraktion von flüchtigen Stoffen aus der Atmosphäre eines geeigneten Gasriesen ermöglicht.",165
Kryoarithmetische Maschine,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Ein Quantencomputer, der gegen den zweiten Hauptsatz der Thermodynamik verstößt, indem er bei der Durchführung von Berechnungen kälter statt heißer wird.

Ein riesiges, planetenweites Netz von Ranken, die in Kühlkörpern enden, wächst aus sich selbst heraus und nutzt die Wärme als Treibstoff für Wachstum und fortgesetzte Berechnungen. Je heißer die Planetenoberfläche ist, desto effektiver ist die Rechenmaschine. Die unübertroffene Verarbeitungskapazität ist ein Segen für die logistische und strategische Planung.",170
Kampfdrohne Replikator,drone_replicator,"hist3t, pather4, colony_item, codex_unlockable",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Massenproduktion einer Reihe von Drohnenvarianten, die alle für verschiedene Aufgaben im Zusammenhang mit der Verteidigung des Planeten gegen Überfälle und Invasionen sowie für lokale Sicherheitsmaßnahmen geeignet sind.

Ihr Einsatz wurde von der Domain viele Zyklen vor dem Kollaps verboten, daher ist es überraschend, ein funktionierendes Exemplar in der Persean Sector zu finden.",175
Dealmaker-Holosuite,dealmaker_holosuite,"hist3t, pather4, colony_item, codex_unlockable",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Erzeugt eine interaktive Umgebung, die Verhandlungen mit potenziellen Geschäftspartnern anregen soll. Darüber hinaus ermöglichen die in solchen High-End-VR-Suiten eingebauten selbstanpassenden intelligenten Mikrobewegungssensoren eine Echtzeitverfolgung der Wahrhaftigkeit von Äußerungen, was dem Betreiber der Einrichtung einen technischethischen Vorteil bei Geschäftsabschlüssen verschafft.  

Die eingebauten Marketingmaterialien betonen, dass es sich nicht um eine KI handelt, sondern lediglich um ein ausgeklügeltes, gewichtetes Netzwerk, das die einschlägigen Domain-Vorschriften voll erfüllt.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# Blaupausen,,,,,,,,,,,,,,,
Low Tech Blueprint Paket,low_tech_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Ermöglicht es der Schwerindustrie, die gängigsten Schiffsrümpfe, Waffen und Kampfflugzeuge aus der ""Low-Tech""-Schule zu konstruieren.",200
Midline Blueprint Paket,midline_package,"package_bp, codex_unlockable",,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Ermöglicht es der Schwerindustrie, die gängigsten Schiffsrümpfe, Waffen und Kampfflugzeuge der ""Mittellinien""-Schule zu bauen.",210
High Tech Blueprint Paket,high_tech_package,"package_bp, codex_unlockable",,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Ermöglicht es der Schwerindustrie, die gängigsten Schiffsrümpfe, Waffen und Kampfflugzeuge der ""Hightech""-Schule zu konstruieren.",220
Raketen-Blaupause-Paket,missile_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,"Ermöglicht es der Schwerindustrie, eine Reihe der gängigsten Raketenwaffen zu bauen.",230
Piraten Blaupause Paket,pirate_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Eine Sammlung von Hacks, Modifizierungsspezifikationen für den Nachrüstungsmarkt und teilweise erfolgreichen Versuchen zur Wiederherstellung beschädigter Blaupausen. Ermöglicht der Schwerindustrie den Bau von minderwertigen, aber kampffähigen Schiffskörpern, die häufig von Piraten und anderen unerwünschten Personen verwendet werden.",240
Luddic Path Blueprint-Paket,LP_package,"package_bp, codex_unlockable",,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,"Eine Sammlung von Hacks und Modifizierungsspezifikationen für den Nachrüstungsmarkt, die es der Schwerindustrie ermöglichen, die von den Mitgliedern der Luddic Path am häufigsten verwendeten Schiffskörper zu konstruieren.",250
Luddic Church Blueprint-Paket,LC_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Eine Sammlung von Hacks und Modifizierungsspezifikationen für den Nachrüstungsmarkt, die es der Schwerindustrie ermöglichen, Schiffsrümpfe mit Luddic Church-Markierungen zu bauen. Da die Modifikationen kosmetischer Natur sind, sind die hergestellten Rümpfe ansonsten tadellos.",260
XIV Battlegroup Blueprint-Paket,XIV_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Eine Reihe von Entwürfen, die es der Schwerindustrie ermöglichen, die fast legendären Schiffskörper der von Hegemony gegründeten XIV Battlegroup herzustellen. Über die weitere Existenz - und den Verbleib - dieser Baupläne gibt es viele Gerüchte.",270
Hegemony Hilfsblaupausen,heg_aux_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Eine Sammlung modifizierter Blaupausen, die verschiedene zivile Fahrzeuge auf Mil-Spec bringen oder einfach Hegemony-Markierungen hinzufügen. Einige dieser Blaupausen, die kurz nach dem Kollaps erstellt wurden, verbessern die Leistung der Schiffshülle, ohne dass die Häufigkeit von D-Mods zunimmt, die bei späteren Blaupausen-Hacking-Versuchen auftreten.",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Basisschiff-Blaupause,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,"Ermöglicht der Schwerindustrie den Bau von Schiffsrümpfen, die durch diesen Bauplan beschrieben werden.",300
Basiswaffen-Blaupause,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,"Ermöglicht es der Schwerindustrie, die in dieser Blaupause beschriebenen Schiffswaffen zu bauen.",310
Base Fighter Blaupause,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,"Ermöglicht der Schwerindustrie den Bau von Kampfflugzeugen, die in diesem Entwurf beschrieben sind.",320
,,,,,,,,,,,,,,,
Blaupause für die Basisindustrie,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,"Enthält die technologischen Spezifikationen, die für den Bau einer planetenseitigen Industrie oder Struktur erforderlich sind.",400
,,,,,,,,,,,,,,,
# Andere Gegenstände,,,,,,,,,,,,,,,
Janus-Gerät,janus,"mission_item, codex_unlockable",,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Dies ist das Janus-Gerät der ersten Generation, das von Elissa Zal auf der Grundlage der von Scylla Coureuse und anderen entwickelten Theorien entwickelt wurde.

In Verbindung mit einem Hyperantrieb ermöglicht dieses Gerät die Übertragung eines Hyperwellenimpulses, der auf die einzigartigen Resonanzsignaturen von zwei Gates abgestimmt ist, in eine Gateöffnung. Nach einem enormen Energieaufwand, dessen Erzeugung eine große Menge Treibstoff erfordert, wird eine vorübergehende Verbindung zwischen diesen Toren hergestellt. Ein Schiff oder eine Flotte kann dann das Gatenetz durchqueren.",0
Planetkiller,planetkiller,"mission_item, codex_unlockable",Domain Restricted,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Ein spezieller Sprengkopf, der eine Welt zerstören kann. Die Funktionsweise ist nur ansatzweise bekannt; man vermutet, dass er die Drehung der Welt und eine Form von Resonanz nutzt.

Dieser Sprengkopf ist gesichert und erfordert möglicherweise längst vergessene Autorisierungscodes, um mehr als nur ein kompliziertes, aber völlig träges Gerät zu sein.",10
Topographische Daten,topographic_data,codex_unlockable,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Dieses sichere TriPad enthält eine aktuelle Datenbank mit detaillierten Scans und Analysen der Hyperraumtopographie in der Persean Sector, die nach den traditionellen Richtlinien des Domain Explorariums organisiert sind. Daten wie diese sind ein wesentliches Element für erfolgreiche Expeditionen außerhalb der Kernwelten.",500
Wurmloch-Anker,wormhole_anchor,codex_unlockable,Domain Restricted,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Diese Technologie ist den heutigen Persean Sector nicht bekannt, wurde aber vom Domain Explorarium in einer längst vergangenen Ära verwendet. Kann verwendet werden, um einen Wurmloch-Terminus an einem stabilen Ort zu schaffen.

Die erste Aktivierung erfordert Antimaterie in Form von Raumschifftreibstoff. Erfordert mindestens einen weiteren aktiven und synchronisierten Terminus zur Nutzung.",1
Wurmloch-Scanner,wormhole_scanner,"mission_item, codex_unlockable",Domain Restricted,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"Ein Artefakt aus der Domain-Ära, das es einer Flotte ermöglicht, durch ein natürliches Wurmloch zu navigieren und seinen vielen Drehungen, Wendungen und Verschiebungen durch höhere Dimensionen zu folgen. Eine Flotte, die ohne Scanner in ein Wurmloch einfliegt, würde nie wieder gesehen werden, zumindest nicht als kohärente Ansammlung baryonischer Materie.

Die Funktionsweise lässt sich beim derzeitigen Stand der Technik im Persean Sector nur vage erahnen.",2
Fragment-Fabrikant,fragment_fabricator,"threat, codex_unlockable",Threat,,20000,1000,1,,graphics/icons/cargo/fragment_fabricator.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Eine ungewohnte Technologie, die jedoch Konstruktionsprinzipien mit den alten Domain-Ingenieurstandards teilt. Verschiedene sich selbst modifizierende Adapter akzeptieren Energie und Schmiedestücke. Es gibt keine Befehlsschnittstelle. Versuche, in die Funktionsweise einzugreifen, lösen aggressive, sich selbst reparierende Mechanismen aus; ein größerer Versuch, die Einheit zu zerlegen, würde die Selbstzerstörung riskieren.

Es handelt sich eindeutig um einen Fabricator, denn wenn die Inputs eingespeist werden, produziert er Fragment-Einheiten, von denen jede aus einer einzigartigen Anordnung fraktaler Komponenten besteht, die aber funktionell ähnlich sind, mit geringfügiger Berücksichtigung des Maßstabs. Auf individueller Ebene einfach, zeigen die Fragmente in Gruppen ein ausgeklügeltes emergentes Verhalten.",400
Einheit zur Bearbeitung von Bedrohungen,threat_processing_unit,"threat, codex_unlockable",Threat,,15000,1000,1,,graphics/icons/cargo/threat_processing_unit.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Eine grundlegende, modulare Berechnungseinheit. Diese scheinen in großer Zahl eingesetzt zu werden, um die verschiedenen Funktionen von Bedrohungsschiffen zu unterstützen. Nicht vollständig verstanden, aber eindeutig weit unter der Schwelle, um als künstliche Intelligenz irgendeiner Stufe zu gelten.",401
Umhülltes Substrat,shrouded_substrate,"monster, codex_unlockable",Shrouded Dweller,,5000,1000,1,,graphics/icons/cargo/shrouded_substrate.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedSubstratePlugin,,"Anomale exotische Materie, die mit Hilfe behelfsmäßiger Eindämmungseinheiten in halbstabiler Stasis gehalten wird. Es wird empfohlen, Protokolle für den Umgang mit gefährlichem Material der Klassen 6, 7, 9 und 13 zu verwenden. Eine flüchtige Untersuchung deutet auf Anwendungen in der Energieprojektion hin.",450
Leichter Gewitterkopf,shrouded_thunderhead,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_thunderhead.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_thunderhead,"""Diese sich selbst erhaltende Aktion erzeugt massive Energiedifferenzen, die sich periodisch in Richtung ihres, ähm, Ziels entladen. Ich hätte nie gedacht, dass ein Sturm böse sein kann, aber jetzt...""

- Abgefangenes Audioprotokoll, Sprecher unbekannt",451
Verhüllter Mantel,shrouded_mantle,"monster, codex_unlockable",Shrouded Dweller,,50000,1000,1,,graphics/icons/cargo/shrouded_mantle.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_mantle,"""Wir können die Energie nicht ewig in diesem theoretischen Scheinplasma speichern. Irgendwo muss sie ja hin.""

""-Umkehrung der Polarität der Flusskonverter und Flackern des Antriebsfeldes. Bumm, eine sanfte Erschütterung des lokalen Zeit-Raums. Womit ich das Schiff selbst meine.""

""Wenn es funktioniert.""",452
Abgedeckte Linse,shrouded_lens,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_lens.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_lens,"""Bei Kampfmanövern aufdrehen und die Frequenz der 'Sonden' anpassen, die den Antriebsfeldstabilisatoren nachempfunden sind. Es würde Hyperraumbrüche erzeugen, die schreckliche Schäden an N-Raum-Strukturen verursachen würden. Raumschiffe, zum Beispiel.""",453
